               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.016192,            0.004516,           0.0011266,             0.99855,             0.98113,             0.98091,             0.82917,            0.016946,           0.0026925,          0.00085433,            0.003268,            0.003268,            0.003268
                 138,            0.017541,           0.0041556,           0.0010606,             0.99855,             0.98113,             0.98164,             0.85294,            0.012888,           0.0025709,          0.00086924,           0.0032185,           0.0032185,           0.0032185
                 139,              0.0159,           0.0044403,           0.0010064,             0.99852,             0.98113,             0.99012,             0.84528,            0.016871,           0.0026983,          0.00086406,            0.003169,            0.003169,            0.003169
                 140,             0.01763,           0.0041384,           0.0010609,             0.99829,             0.98113,             0.99011,             0.82565,             0.01452,           0.0026121,          0.00087525,           0.0031195,           0.0031195,           0.0031195
                 141,            0.017544,           0.0038672,           0.0010804,             0.99812,             0.98113,             0.98209,             0.82752,            0.013472,           0.0026327,          0.00086009,             0.00307,             0.00307,             0.00307
                 142,            0.016666,           0.0043968,          0.00095029,             0.99807,             0.98113,             0.99073,             0.86092,            0.014276,           0.0026433,          0.00084082,           0.0030205,           0.0030205,           0.0030205
                 143,            0.015704,           0.0044541,           0.0010307,              0.9979,             0.98113,             0.98214,             0.85149,            0.014028,           0.0026321,          0.00080725,            0.002971,            0.002971,            0.002971
                 144,            0.017732,           0.0041219,           0.0011041,             0.99802,             0.98113,             0.99063,             0.86657,            0.013305,           0.0025851,          0.00078786,           0.0029215,           0.0029215,           0.0029215
                 145,            0.014627,           0.0044344,          0.00095085,             0.99824,             0.98113,             0.98089,             0.80876,            0.015475,            0.002636,          0.00075757,            0.002872,            0.002872,            0.002872
                 146,            0.016672,           0.0040294,          0.00094285,             0.99828,             0.98113,             0.99012,             0.84013,            0.013761,            0.002557,          0.00071402,           0.0028225,           0.0028225,           0.0028225
                 147,            0.016711,           0.0039805,            0.001038,             0.99823,             0.98113,             0.98211,             0.84926,            0.013154,           0.0025612,          0.00070346,            0.002773,            0.002773,            0.002773
                 148,             0.01562,           0.0047268,          0.00091292,             0.99831,             0.98113,             0.98091,             0.83679,            0.014428,           0.0025921,          0.00067536,           0.0027235,           0.0027235,           0.0027235
                 149,            0.015352,           0.0038993,          0.00079514,             0.99869,             0.98113,             0.98197,             0.85576,            0.013792,           0.0025663,          0.00065152,            0.002674,            0.002674,            0.002674
                 150,            0.015045,           0.0044066,          0.00097506,             0.99877,             0.98113,             0.99013,             0.87024,            0.012479,           0.0025436,          0.00064805,           0.0026245,           0.0026245,           0.0026245
                 151,            0.013749,           0.0036993,          0.00070793,              0.9987,             0.98113,             0.98096,             0.85796,            0.014058,           0.0026105,          0.00061684,            0.002575,            0.002575,            0.002575
                 152,            0.017162,           0.0041988,           0.0007397,             0.99865,             0.98113,             0.98885,             0.87737,            0.012937,           0.0025418,           0.0006114,           0.0025255,           0.0025255,           0.0025255
